Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Yaprak_Islaklik;Ilaclama;Cercospora;Tarih
1;25,12509999;43,21310447;15,82288537;8,839061743;3,726430084;4,488951377;5,305628166;7,290392833;12,81629772;64,47773937;6,150323673;24,93113045;23,55526475;24,42990481;23,78539248;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
2;26,80475638;45,03574062;17,28984992;9,509451021;1,889038406;18,53121528;3,318596732;8,130390048;14,44837686;55,97913675;4,937583621;26,4605581;23,05177739;24,996276;22,41123755;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
3;20,80722553;35,66161587;19,74954178;9,653616117;7,754790083;10,6353262;2,506865689;8,189996252;12,83618037;58,75166725;7,156225743;23,29651421;22,50779849;24,56965541;20,60337696;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
4;24,66153834;53,16051687;20,55072154;9,120733866;5,854648834;11,72597757;5,010552633;4,657069391;12,44625295;70,57436944;9,353640912;20,63197177;22,54991968;25,80054166;20,500744;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
5;22,12013811;41,47303696;18,65562632;3,743762686;10,23349408;22,30412655;4,398695918;5,834431985;14,3770571;54,47393311;3,967312733;19,60886365;23,83592809;26,01965338;23,21544659;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
6;26,53166592;49,76980288;17,07967494;11,72217745;7,016700876;16,7273674;2,28822292;4,785037065;11,79962916;51,63877498;7,223700345;23,87944084;23,55991894;24,95665844;26,17959005;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
7;22,77820175;47,40051013;17,95487897;4,377438613;8,242000838;2,227807556;2,673612377;5,659634058;14,34840736;56,42072106;8,027700282;26,89239814;24,01857606;24,45291433;22,45565976;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
8;21,7152653;41,29499573;16,47030516;3,40876032;2,727596941;18,20751632;3,875426712;6,692475212;14,46540956;68,84686726;4,377784559;19,90011206;22,93771001;24,96771453;24,22859383;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
9;27,05401679;42,66887931;19,47184067;8,397760112;2,825497494;16,26166134;1,685908868;5,692498478;13,27168175;58,09131245;8,607416535;24,97250078;22,7341965;26,35596189;22,25251919;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
10;20,28876235;40,60961002;20,38471043;6,808146296;8,914001979;18,04415628;2,514279409;4,539575831;13,2050555;60,11383163;7,265424891;20,88368882;23,75204319;26,26852569;25,20411183;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
11;21,55249743;38,43309458;20,66459132;4,80825452;1,834637606;2,284723984;2,725185168;4,330880167;12,85968254;68,12822957;3,309503717;20,14397971;23,43808853;24,43639721;24,02703166;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
12;20,69198283;51,04876005;18,49097141;8,588419516;6,620825204;3,884894131;5,15594228;5,761829766;13,98160261;71,03668478;5,144299348;20,13296767;23,32205146;25,88347098;24,81984664;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
13;24,45224515;48,32865977;19,41419271;9,645421604;5,879153442;4,803003179;4,158377802;5,540921165;12,84032387;47,28010853;5,171014992;19,11693088;23,35038966;25,72439028;25,8277079;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
14;25,84192929;40,20373407;18,85630352;4,078355695;9,558667806;13,42403855;3,840409636;4,571180668;12,88602112;47,85726284;3,239039017;19,32984026;24,34513285;24,9062899;22,85975997;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
15;24,83334092;53,94898582;20,10517149;4,364034811;3,611149107;11,93430743;3,988331895;6,513599629;11,45262863;76,33596503;9,918751557;19,16060176;24,19515826;25,57080376;23,75735677;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
16;22,78893176;34,75136995;16,23680097;7,120751834;1,902023903;19,49220614;6,191346715;7,5408438;13,52356468;57,30372103;9,927325305;22,69389215;23,43251752;24,87326727;20,49593052;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
17;24,24619736;51,49277044;17,53192459;3,658063499;3,531424726;1,932087813;2,972351527;4,295346781;13,0931685;53,36471686;8,629668094;27,16923988;23,78606627;25,14640633;25,93671398;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
18;19,57635308;50,48682725;15,82747822;6,128367031;9,450702384;4,304086553;3,420031386;7,768462412;13,08586326;54,23084907;2,188435884;24,89519911;23,91723472;24,49992223;22,18692445;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
19;25,46200712;46,89630656;15,83234137;9,697498524;5,223701364;1,246539668;2,405127252;5,356382691;13,99635317;55,38224907;2,961903164;24,69423328;23,8631782;25,41839844;24,12364744;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
20;24,86402686;44,20283871;20,15788806;10,65113519;1,333503753;4,132433191;3,946379231;6,369590923;11,54796605;59,81570144;4,076076946;28,32577854;23,66118795;26,10336062;25,31135658;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
21;20,71099986;48,18390469;16,37357374;7,839787047;7,146200636;4,100780194;3,222162807;7,866254274;13,59392022;59,85245587;9,524968462;21,56553438;22,65110284;24,7710321;22,33904035;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
22;23,31301292;54,27551016;17,58544817;9,664518359;10,29762909;10,18775988;2,068639236;5,69157517;11,65832304;55,1197105;5,396568587;25,20264015;22,99057144;25,6344403;23,48909425;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
23;26,34329772;38,48339359;18,18620344;11,93297671;8,650595693;16,63708493;2,644094247;8,088603323;11,94380704;55,88155124;9,006827477;27,08701891;23,29925382;25,48984345;23,69454507;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
24;24,02899186;43,41040821;16,19945092;9,207975345;8,529177054;9,346093733;3,956237165;7,730159975;12,14580652;67,11904173;4,162861346;21,58944867;24,31658675;25,26525757;24,73485435;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
25;19,70533787;52,25754742;15,99841243;6,532691273;4,109068102;2,043965936;3,844823556;5,126776958;11,57992422;55,37675981;6,587692138;18,69820569;22,54148083;25,84738297;20,30253423;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
26;19,94098114;46,14730593;19,45113283;11,51778046;1,596599306;17,63114838;3,931975743;8,291486216;13,04520915;71,26037381;7,90110387;28,17509654;24,11759181;24,32646546;19,84655238;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
27;19,54927962;34,00031333;16,60911874;8,529463968;9,733059506;9,626540663;2,449306689;5,926028316;12,19717307;56,7449991;6,110389083;22,75050308;22,52526974;24,9141865;20,32723176;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
28;25,76822357;39,94276398;20,12996326;9,018500199;2,423641297;20,83236719;2,872460395;8,171192437;13,74920542;63,19352561;5,911033654;23,1030923;22,96629559;26,30674489;24,3677687;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
29;20,81543593;42,95172723;17,8872494;5,88528572;10,36344171;10,2009164;6,216502271;6,870878676;12,16580616;74,83374699;4,161101691;19,90421927;23,29175968;24,83670492;21,2476759;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
30;21,7092961;46,79731633;17,9417352;10,94599839;2,539335252;13,5234077;2,645097582;4,504079367;11,73735376;62,08831316;7,974038839;22,74641674;23,57578465;24,73523568;24,7418221;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
31;26,28160296;43,93836134;19,20893555;5,15027454;9,225828253;18,60563275;2,893443088;7,809982209;12,44626193;54,92683331;5,046660834;18,82400203;23,43637759;24,52774759;25,64807836;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
32;21,98053146;49,56578156;16,73410023;5,750237189;5,902490638;16,42221175;2,797024092;5,743325958;14,31790082;74,81230591;7,670678322;19,83483156;22,98381323;25,47150445;19,11043744;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
33;23,31611943;50,20205151;17,30578095;7,576868612;4,128240667;13,57387898;4,076732398;6,418652166;13,04709682;69,75088507;10,08439833;20,13477764;23,53425308;25,33312516;23,30381272;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
34;23,7783862;44,53801154;18,09712992;5,124725541;4,195541118;9,017722528;2,727244847;4,330935601;12,45217933;67,21447366;9,664102778;19,48275171;23,28522284;25,35735243;21,86499462;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
35;24,4288383;51,36835317;17,68248327;9,806182687;2,308494218;5,137987667;3,073378352;6,382623126;12,28906051;65,87373706;8,180067934;27,2499076;23,60932636;25,50230909;21,83923502;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
36;27,02330732;38,60029799;20,43224766;5,562279714;3,724466158;14,16729416;3,42839823;6,36146076;12,3912973;65,99800262;4,819375658;25,32498019;23,08250658;24,99268195;22,44594044;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
37;20,4746921;34,08508997;16,23326169;7,264766848;6,248157633;22,30622713;4,306068607;6,304561718;11,44732398;74,92719403;9,558622856;19,80492452;22,71669773;25,21421863;23,37053226;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
38;23,43959017;40,44999132;19,04937285;8,637229405;2,928345339;16,07090725;4,450276051;4,769225957;14,03286581;77,20300011;3,006988237;22,86805255;23,9422064;24,12048331;19,15551519;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
39;20,57924744;43,00599876;18,41876394;10,94216962;5,02396735;4,611000995;1,514944161;4,986140485;13,9813605;68,59340773;8,618906874;25,94987453;23,52863876;24,77802201;21,21052497;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
40;20,233419;46,47357947;17,63963743;11,68324202;5,1947509;17,37927627;4,76405837;7,975970704;14,45987837;53,1704681;10,42948451;18,6773504;23,91099433;24,72335556;19,14929494;25,39;26,55;24,44;58,97;65,37;52,79;0;0;0;0;16.06.2022
